pathway,n_candidates,mean_confidence,median_confidence,n_high,n_moderate,n_low
Autophagy,6,82.77363388844523,84.64968898572873,6,0,0
Complement,2,70.04523944077528,70.04523944077528,1,1,0
Hypoxia/HIF-1,2,72.7043398763135,72.7043398763135,2,0,0
Integrin/Src,8,64.04650771672057,64.48451984031924,2,6,0
NF-kB,1,76.89177678238924,76.89177678238924,1,0,0
TGF-beta,5,70.43792155264337,74.88215322827867,3,2,0
Wnt,3,74.88344575841718,74.53023319574451,2,1,0
mTOR,4,72.69366168529436,77.88128916425929,3,1,0
