run_date,mindate,maxdate,tier,context,pathway,count,query
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Wnt,20,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Notch,9,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,NF-kB,13,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Complement,17,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (complement OR C3 OR C5)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Sphingolipid/Ceramide,13,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Autophagy,50,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (autophagy OR mitophagy OR lysosome)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Hypoxia/HIF-1,133,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (hypoxia OR HIF-1 OR HIF1A)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,Integrin/Src,6,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (integrin OR SRC)
2026-02-15,2015/01/01,2026/02/15,strict,cardiac_repair,TGF-beta,12,"(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""TGF-beta"" OR TGFB1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,mTOR,118,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (mTOR OR PI3K OR AKT)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Wnt,45,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (Wnt OR beta-catenin OR CTNNB1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,Notch,15,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (Notch OR NOTCH1)"
2026-02-15,2015/01/01,2026/02/15,relaxed,neurodegeneration,NF-kB,62,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR dementia OR neuroinflammation OR neurotoxicity) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
