pathway,context,count,ev_clause_label,ev_clause,query
Autophagy,cardiac_repair,22,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,cardiac_repair,56,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,cardiac_repair,3,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (integrin OR SRC)"
TGF-beta,cardiac_repair,1,umbrella_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""TGF-beta"" OR TGFB1)"
mTOR,neurodegeneration,84,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (mTOR OR PI3K OR AKT)"
Wnt,neurodegeneration,36,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,neurodegeneration,11,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Notch OR NOTCH1)"
NF-kB,neurodegeneration,22,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,neurodegeneration,71,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,neurodegeneration,89,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
Autophagy,neurodegeneration,389,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,neurodegeneration,59,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,neurodegeneration,28,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (integrin OR SRC)"
TGF-beta,neurodegeneration,18,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""TGF-beta"" OR TGFB1)"
mTOR,tumor_metastasis,301,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (mTOR OR PI3K OR AKT)"
Wnt,tumor_metastasis,201,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,tumor_metastasis,59,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Notch OR NOTCH1)"
NF-kB,tumor_metastasis,67,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,tumor_metastasis,58,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,tumor_metastasis,40,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
Autophagy,tumor_metastasis,209,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,tumor_metastasis,282,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,tumor_metastasis,249,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (integrin OR SRC)"
TGF-beta,tumor_metastasis,143,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""TGF-beta"" OR TGFB1)"
mTOR,cardiac_repair,66,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (mTOR OR PI3K OR AKT)"
Wnt,cardiac_repair,20,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Wnt OR beta-catenin OR CTNNB1)"
Notch,cardiac_repair,9,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Notch OR NOTCH1)"
NF-kB,cardiac_repair,13,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
Complement,cardiac_repair,17,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (complement OR C3 OR C5)"
Sphingolipid/Ceramide,cardiac_repair,13,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (sphingolipid OR ceramide OR sphingomyelinase OR S1P)"
Autophagy,cardiac_repair,50,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (autophagy OR mitophagy OR lysosome)"
Hypoxia/HIF-1,cardiac_repair,133,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (hypoxia OR HIF-1 OR HIF1A)"
Integrin/Src,cardiac_repair,7,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (integrin OR SRC)"
TGF-beta,cardiac_repair,12,expanded_ev,"(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"")","(""extracellular vesicle"" OR ""extracellular vesicles"" OR exosome OR exosomes OR microvesicle OR microvesicles OR ectosome OR ectosomes OR ""small extracellular vesicle"" OR ""small extracellular vesicles"") AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (""TGF-beta"" OR TGFB1)"
